========================================
Old logs cleaned by monthly scheduler
Cleanup Time: 01-07-2026 10:28:47 AM IST
========================================

2026-07-03 13:14:51 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-03 13:14:51 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-03 13:14:51 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 13:14:52 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 13:14:52 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 13:14:52 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 16:35:59 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-03 16:35:59 | INFO     | service.py:44 | .env file is loaded
2026-07-03 16:35:59 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-03 16:35:59 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-03 16:36:02 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 16:36:03 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-03 16:36:03 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-03 16:36:06 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-03 16:36:09 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-03 16:36:09 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-03 16:36:09 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 16:36:10 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 16:36:10 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 16:36:10 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 20:07:07 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-03 20:07:07 | INFO     | service.py:44 | .env file is loaded
2026-07-03 20:07:08 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-03 20:07:08 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-03 20:07:11 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 20:07:12 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-03 20:07:12 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-03 20:07:15 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-03 20:07:18 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-03 20:07:18 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-03 20:07:18 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 20:07:18 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-03 20:07:18 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-03 20:07:19 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 09:38:01 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-04 09:38:01 | INFO     | service.py:44 | .env file is loaded
2026-07-04 09:38:02 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-04 09:38:02 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-04 09:38:05 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 09:38:06 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-04 09:38:06 | INFO     | task02.py:129 | Fetching Data From Database.
2026-07-04 09:38:09 | INFO     | task02.py:106 | >> No new joiners since last run
2026-07-04 09:38:12 | INFO     | task02.py:148 | Nothing to add in Daily-Stats
2026-07-04 09:38:12 | INFO     | task02.py:165 | Adding to Days Login data and Email Send Data.
2026-07-04 09:38:12 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 09:38:13 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 09:38:13 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 09:38:13 | INFO     | Google_Sheet.py:75 | Data appended successfully.
2026-07-04 11:29:03 | INFO     | service.py:33 | ===== EMAIL SYSTEM STARTED =====
2026-07-04 11:29:03 | INFO     | service.py:44 | .env file is loaded
2026-07-04 11:29:03 | INFO     | service.py:51 | Calendar.py Module's main_() is Running
2026-07-04 11:29:03 | INFO     | service.py:151 | Todays Festivals is loaded in program.
2026-07-04 11:29:03 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
2026-07-04 11:29:04 | INFO     | Google_Sheet.py:54 | Data successfully written to data.json
2026-07-04 11:29:04 | INFO     | task01.py:99 | Fetching Data From Database.
2026-07-04 11:29:04 | INFO     | task01.py:66 | >> No Birthdays today	>> No festivals today
2026-07-04 11:29:04 | INFO     | task01.py:112 | Nothing to add in Daily-Stats
2026-07-04 11:29:04 | INFO     | task01.py:123 | Adding to Days Login data and Email Send Data.
2026-07-04 11:29:04 | INFO     | __init__.py:49 | file_cache is only supported with oauth2client<4.0.0
